#r       Mtot     Mtotup  Mtotdown
#kpc    10^13Msun 10^12Msun  10^12Msun
# 68 %
2.57040 0.00188 0.00063 0.00028   0.00177 0.00039
4.76436 0.00460 0.00149 0.00070   0.00364 0.00092
8.83098 0.00908 0.00308 0.00156   0.00678 0.00168
16.36866 0.01640 0.00513 0.00280   0.01040 0.00303
30.34015 0.02765 0.00615 0.00346   0.01303 0.00400
56.23699 0.04498 0.00627 0.00429   0.01445 0.00649
104.23811 0.06649 0.00717 0.00634  0.01572 0.01142
193.21059 0.08828 0.01124 0.00882  0.02239 0.01598
# 95 % 
#2.57040 0.00188 0.00177 0.00039
#4.76436 0.00460 0.00364 0.00092
#8.83098 0.00908 0.00678 0.00168
#16.36866 0.01640 0.01040 0.00303
#30.34015 0.02765 0.01303 0.00400
#56.23699 0.04498 0.01445 0.00649
#104.23811 0.06649 0.01572 0.01142
#193.21059 0.08828 0.02239 0.01598
